Node,Utilised Bandwith Rate,Packet Drop Rate,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,Packet Received  Rate,of Used_Bandwidth,Lost_Bandwidth,Packet Size_Byte,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,Node Status,Flood Status,Class
3.0,0.859478,0.153514,500.0,0.000443,15.344782,15.351421,0.846486,429.73875,70.26125,1440.0,45188.0,38251.0,6937.0,65070720.0,55081440.0,0.108995,0.850883,0.002242,B,0.0,No Block
9.0,0.53145,0.477896,100.0,0.000866,47.75641,47.789567,0.522104,53.145,46.855,1440.0,9048.0,4724.0,4324.0,13029120.0,6802560.0,0.396653,0.451733,0.002294,P NB,0.126929,NB-No Block
3.0,0.820097,0.192972,400.0,0.000469,19.280576,19.297178,0.807028,328.03875,71.96125,1440.0,36140.0,29166.0,6974.0,52041600.0,41999040.0,0.140869,0.811896,0.00226,B,0.005635,NB-No Block
9.0,0.577238,0.432471,100.0,0.004838,43.225022,43.247126,0.567529,57.72375,42.27625,1440.0,9048.0,5135.0,3913.0,13029120.0,7394400.0,0.315704,0.496424,0.002764,P NB,0.123125,NB-Wait
3.0,0.87525,0.138362,600.0,0.000428,13.825114,13.836188,0.861638,525.15,74.85,1440.0,54184.0,46687.0,7497.0,78024960.0,67229280.0,0.101004,0.857745,0.001901,B,0.0,No Block
9.0,0.538875,0.47027,100.0,0.004078,47.004863,47.026967,0.52973,53.8875,46.1125,1440.0,9048.0,4793.0,4255.0,13029120.0,6901920.0,0.352702,0.463433,0.002281,P NB,0.102284,NB-No Block
3.0,0.684394,0.327255,200.0,0.000493,32.692308,32.725464,0.672745,136.87875,63.12125,1440.0,18096.0,12174.0,5922.0,26058240.0,17530560.0,0.265076,0.657018,0.001902,B,0.021206,NB-No Block
9.0,0.5247,0.484085,100.0,0.005237,48.386384,48.408488,0.515915,52.47,47.53,1440.0,9048.0,4668.0,4380.0,13029120.0,6721920.0,0.334019,0.456489,0.001917,P NB,0.106886,NB-Wait
3.0,0.779138,0.233095,300.0,0.000486,23.291008,23.309464,0.766905,233.74125,66.25875,1440.0,27092.0,20777.0,6315.0,39012480.0,29918880.0,0.191138,0.771346,0.002272,B,0.011468,NB-No Block
9.0,0.513563,0.495469,100.0,0.000912,49.513705,49.546861,0.504531,51.35625,48.64375,1440.0,9048.0,4565.0,4483.0,13029120.0,6573600.0,0.366647,0.451935,0.001083,P NB,0.076996,NB-Wait
3.0,0.836696,0.176022,1000.0,0.000556,17.595545,17.602188,0.823978,836.69625,163.30375,1440.0,90324.0,74425.0,15899.0,130066560.0,107172000.0,0.132016,0.803228,0.001029,B,0.0,No Block
9.0,0.249525,0.754421,200.0,0.005005,75.431034,75.442087,0.245579,49.905,150.095,1440.0,18096.0,4444.0,13652.0,26058240.0,6399360.0,0.633714,0.224573,0.001042,NB,0.468948,Block
3.0,0.844525,0.168401,900.0,0.000409,16.836458,16.84015,0.831599,760.0725,139.9275,1440.0,81276.0,67589.0,13687.0,117037440.0,97328160.0,0.136405,0.819189,0.000542,B,0.0,No Block
9.0,0.446906,0.516523,200.0,0.000569,51.635721,51.652299,0.483477,89.38125,110.61875,1440.0,18096.0,8749.0,9347.0,26058240.0,12598560.0,0.408053,0.384339,0.000726,NB,0.318281,NB-No Block
3.0,0.831741,0.181038,800.0,0.000666,18.101013,18.103782,0.818962,665.3925,134.6075,1440.0,72228.0,59152.0,13076.0,104008320.0,85178880.0,0.150261,0.823423,0.000758,B,0.027047,NB-No Block
9.0,0.524925,0.483919,200.0,0.000627,48.380858,48.39191,0.516081,104.985,95.015,1440.0,18096.0,9339.0,8757.0,26058240.0,13448160.0,0.406492,0.451436,0.000755,NB,0.333323,NB-Wait
3.0,0.858182,0.155979,700.0,0.000512,15.594779,15.597939,0.844021,600.7275,99.2725,1440.0,63284.0,53413.0,9871.0,91128960.0,76914720.0,0.116985,0.841019,0.000764,B,0.0,No Block
3.0,0.721564,0.289414,1000.0,0.000475,28.93251,28.941367,0.710586,721.56375,278.43625,1440.0,90324.0,64183.0,26141.0,130066560.0,92423520.0,0.20259,0.692701,0.000817,B,0.036466,NB-Wait
3.0,0.776325,0.235752,600.0,0.000426,23.569688,23.575225,0.764248,465.795,134.205,1440.0,54184.0,41410.0,12774.0,78024960.0,59630400.0,0.181529,0.737509,0.000921,B,0.005446,NB-No Block
9.0,0.557494,0.45231,200.0,0.000665,45.092838,45.23099,0.54769,111.49875,88.50125,1440.0,18096.0,9911.0,8185.0,26058240.0,14271840.0,0.307571,0.47387,0.000945,P NB,0.076893,NB-Wait
3.0,0.835043,0.17768,500.0,0.000512,17.754714,17.767992,0.82232,417.52125,82.47875,1440.0,45188.0,37159.0,8029.0,65070720.0,53508960.0,0.131483,0.801641,0.000927,B,0.0,No Block
9.0,0.718144,0.293656,200.0,0.002066,29.354553,29.354553,0.706344,143.62875,56.37125,1440.0,18096.0,12782.0,5314.0,26058240.0,18406080.0,0.220242,0.703781,0.000934,B,0.004405,NB-No Block
3.0,0.691228,0.319812,400.0,0.000856,31.9765,31.981184,0.680188,276.49125,123.50875,1440.0,36140.0,24582.0,11558.0,52041600.0,35398080.0,0.236661,0.601368,0.000767,B,0.021299,NB-Wait
9.0,0.517444,0.49149,200.0,0.000633,49.132405,49.148983,0.50851,103.48875,96.51125,1440.0,18096.0,9202.0,8894.0,26058240.0,13250880.0,0.393192,0.455351,0.001051,P NB,0.110094,NB-Wait
3.0,0.790275,0.222095,300.0,0.000713,22.202126,22.209508,0.777905,237.0825,62.9175,1440.0,27092.0,21075.0,6017.0,39012480.0,30348000.0,0.188781,0.750761,0.001035,B,0.018878,NB-No Block
9.0,0.742725,0.269839,200.0,0.000538,26.967286,26.983864,0.730161,148.545,51.455,1440.0,18096.0,13213.0,4883.0,26058240.0,19026720.0,0.223966,0.735298,0.001093,B,0.022397,NB-Wait
3.0,0.486844,0.488448,200.0,0.001881,60.969275,60.980327,0.390197,97.36875,102.63125,1440.0,18096.0,7061.0,11035.0,26058240.0,10167840.0,0.400528,0.418686,0.001088,NB,0.248327,NB-Wait
9.0,0.530606,0.478448,200.0,0.000641,47.828249,47.844828,0.521552,106.12125,93.87875,1440.0,18096.0,9438.0,8658.0,26058240.0,13590720.0,0.368405,0.466934,0.001021,P NB,0.099469,NB-No Block
3.0,0.395438,0.611516,100.0,0.000507,61.074271,61.151636,0.388484,39.54375,60.45625,1440.0,9048.0,3515.0,5533.0,13029120.0,5061600.0,0.415831,0.347985,0.000996,NB,0.224549,NB-Wait
9.0,0.748575,0.264092,200.0,0.000575,26.392573,26.409151,0.735908,149.715,50.285,1440.0,18096.0,13317.0,4779.0,26058240.0,19176480.0,0.171659,0.733604,0.001144,B,0.027466,NB-No Block
3.0,0.804499,0.207652,1000.0,0.000561,20.759709,20.765245,0.792348,804.49875,195.50125,1440.0,90324.0,71568.0,18756.0,130066560.0,103057920.0,0.153663,0.772319,0.001127,B,0.023049,NB-No Block
9.0,0.255375,0.748487,300.0,0.003407,74.841282,74.848664,0.251513,76.6125,223.3875,1440.0,27092.0,6814.0,20278.0,39012480.0,9812160.0,0.494001,0.227284,0.001277,NB,0.296401,NB-Wait
3.0,0.780688,0.231163,900.0,0.000488,23.113834,23.116295,0.768837,702.61875,197.38125,1440.0,81276.0,62488.0,18788.0,117037440.0,89982720.0,0.18493,0.765074,0.000947,B,0.031438,NB-No Block
9.0,0.518925,0.489148,300.0,0.001236,48.907427,48.914809,0.510852,155.6775,144.3225,1440.0,27092.0,13840.0,13252.0,39012480.0,19929600.0,0.371753,0.451465,0.001068,P NB,0.115243,NB-Wait
3.0,0.796233,0.21601,800.0,0.000499,21.594119,21.596888,0.78399,636.98625,163.01375,1440.0,72228.0,56626.0,15602.0,104008320.0,81545760.0,0.153367,0.780308,0.001041,B,0.027606,NB-No Block
9.0,0.46875,0.538535,300.0,0.001276,53.846154,53.853536,0.461465,140.625,159.375,1440.0,27092.0,12502.0,14590.0,39012480.0,18002880.0,0.350048,0.4125,0.001038,P NB,0.136519,NB-Wait
3.0,0.792514,0.220435,700.0,0.000419,22.034005,22.043487,0.779565,554.76,145.24,1440.0,63284.0,49334.0,13950.0,91128960.0,71040960.0,0.185165,0.776664,0.000944,B,0.037033,NB-No Block
9.0,0.5556,0.452975,300.0,0.001833,45.290123,45.297505,0.547025,166.68,133.32,1440.0,27092.0,14820.0,12272.0,39012480.0,21340800.0,0.330672,0.47226,0.000957,P NB,0.085975,NB-Wait
3.0,0.677775,0.332737,600.0,0.000427,33.262587,33.27366,0.667263,406.665,193.335,1440.0,54184.0,36155.0,18029.0,78024960.0,52063200.0,0.272844,0.657442,0.000901,P NB,0.057297,NB-No Block
9.0,0.54765,0.4608,300.0,0.001911,46.072641,46.080024,0.5392,164.295,135.705,1440.0,27092.0,14608.0,12484.0,39012480.0,21035520.0,0.354816,0.492885,0.000908,P NB,0.102897,NB-Wait
3.0,0.771255,0.240329,500.0,0.000434,24.019651,24.032929,0.759671,385.6275,114.3725,1440.0,45188.0,34328.0,10860.0,65070720.0,49432320.0,0.185054,0.748117,0.000757,B,0.011103,NB-No Block
9.0,0.686888,0.323749,300.0,0.001577,32.367489,32.374871,0.676251,206.06625,93.93375,1440.0,27092.0,18321.0,8771.0,39012480.0,26382240.0,0.223387,0.666281,0.000865,B,0.004468,NB-No Block
3.0,0.76455,0.247537,400.0,0.000989,24.748201,24.753735,0.752463,305.82,94.18,1440.0,36140.0,27194.0,8946.0,52041600.0,39159360.0,0.160899,0.726323,0.000784,B,0.008045,NB-Wait
9.0,0.732188,0.279308,300.0,0.000474,27.923372,27.930754,0.720692,219.65625,80.34375,1440.0,27092.0,19525.0,7567.0,39012480.0,28012480.0,0.189929,0.710222,0.000725,B,0.001899,NB-No Block
3.0,0.357525,0.648088,300.0,0.00043,64.768197,64.8088,0.351912,107.2575,192.7425,1440.0,27092.0,9534.0,17558.0,39012480.0,13728960.0,0.505509,0.314622,0.000868,NB,0.272975,NB-Wait
9.0,0.56925,0.439687,300.0,0.000538,43.957626,43.968699,0.560313,170.775,129.225,1440.0,27092.0,15180.0,11912.0,39012480.0,21859200.0,0.373734,0.50094,0.000874,P NB,0.104646,NB-No Block
3.0,0.679106,0.332339,200.0,0.001331,33.222812,33.233864,0.667661,135.82125,64.17875,1440.0,18096.0,12082.0,6014.0,26058240.0,17398080.0,0.219344,0.597614,0.00098,B,0.021934,NB-No Block
9.0,0.832838,0.180238,300.0,0.000491,18.012697,18.023771,0.819762,249.85125,50.14875,1440.0,27092.0,22209.0,4883.0,39012480.0,31980960.0,0.133376,0.807852,0.000886,B,0.0,No Block
3.0,0.4167,0.590628,100.0,0.000547,58.554377,59.062776,0.409372,41.67,58.33,1440.0,9048.0,3704.0,5344.0,13029120.0,5333760.0,0.431158,0.370863,0.000887,NB,0.375108,Block
9.0,0.822225,0.190536,300.0,0.00141,19.046213,19.053595,0.809464,246.6675,53.3325,1440.0,27092.0,21930.0,5162.0,39012480.0,31579200.0,0.16005,0.781114,0.000995,B,0.024008,NB-No Block
3.0,0.765,0.246513,1000.0,0.000847,24.64572,24.651255,0.753487,765.0,235.0,1440.0,90324.0,68058.0,22266.0,130066560.0,980066560.0,0.20214,0.72675,0.000988,B,0.032342,NB-No Block
3.0,0.67095,0.339328,800.0,0.00041,33.924517,33.932824,0.660672,536.76,263.24,1440.0,72228.0,47719.0,24509.0,104008320.0,68715360.0,0.254496,0.644112,0.000746,B,0.050899,NB-Wait
9.0,0.430594,0.576121,400.0,0.001764,57.60653,57.612064,0.423879,172.2375,227.7625,1440.0,36140.0,15319.0,20821.0,52041600.0,22059360.0,0.472419,0.370311,0.000951,NB,0.448798,Block
3.0,0.737388,0.273882,900.0,0.000483,27.380777,27.388159,0.726118,663.64875,236.35125,1440.0,81276.0,59016.0,22260.0,117037440.0,84983040.0,0.20815,0.715266,0.000831,B,0.037467,NB-No Block
9.0,0.563428,0.445545,400.0,0.001486,44.548976,44.55451,0.554455,225.37125,174.62875,1440.0,36140.0,20038.0,16102.0,52041600.0,28854720.0,0.29406,0.507085,0.000948,P NB,0.117624,NB-Wait
3.0,0.669164,0.341114,800.0,0.000491,34.103118,34.111425,0.658886,535.33125,264.66875,1440.0,72228.0,47590.0,24638.0,104008320.0,68529600.0,0.228547,0.635706,0.00083,B,0.038853,NB-Wait
3.0,0.748495,0.263827,700.0,0.000495,26.373175,26.382656,0.736173,523.94625,176.05375,1440.0,63284.0,46588.0,16696.0,91128960.0,67086720.0,0.208423,0.718555,0.000904,B,0.031263,NB-No Block
9.0,0.523659,0.48456,400.0,0.00152,48.45047,48.456004,0.51544,209.46375,190.53625,1440.0,36140.0,18628.0,17512.0,52041600.0,26824320.0,0.387648,0.466057,0.000899,P NB,0.120171,NB-Wait
9.0,0.635906,0.374073,400.0,0.001348,37.401771,37.407305,0.625927,254.3625,145.6375,1440.0,36140.0,22621.0,13519.0,52041600.0,32574240.0,0.265592,0.623188,0.000822,B,0.039839,NB-No Block
3.0,0.67875,0.331906,600.0,0.000484,33.083567,33.19061,0.668094,407.25,192.75,1440.0,54184.0,36200.0,17984.0,78024960.0,52125000.0,0.238972,0.590513,0.000808,B,0.047794,NB-Wait
9.0,0.695953,0.315053,400.0,0.000486,31.496956,31.505257,0.684947,278.38125,121.61875,1440.0,36140.0,24754.0,11386.0,52041600.0,35645760.0,0.255193,0.675075,0.000805,B,0.015312,NB-No Block
3.0,0.723105,0.28782,500.0,0.00069,28.777552,28.781978,0.71218,361.5525,138.4475,1440.0,45188.0,32182.0,13006.0,65070720.0,46342030.0,0.244647,0.694181,0.000809,B,0.014679,NB-No Block
9.0,0.54585,0.463473,200.0,0.000495,46.330681,46.347259,0.536527,109.17,90.83,1440.0,18096.0,9709.0,8387.0,26058240.0,13980960.0,0.384682,0.463973,0.000767,P NB,0.107711,NB-Wait
3.0,0.384609,0.62161,400.0,0.000427,62.000553,62.16104,0.37839,153.84375,246.15625,1440.0,36140.0,13675.0,22465.0,52041600.0,19692000.0,0.435127,0.326918,0.000754,NB,0.30894,NB-Wait
9.0,0.797006,0.215606,400.0,0.001155,21.555064,21.560598,0.784394,318.8025,81.1975,1440.0,36140.0,28348.0,7792.0,52041600.0,40821120.0,0.166017,0.789036,0.000841,B,0.006641,NB-No Block
3.0,0.68685,0.323933,300.0,0.000446,32.37118,32.393326,0.676067,206.055,93.945,1440.0,27092.0,18316.0,8776.0,39012480.0,26375040.0,0.265625,0.679982,0.000759,B,0.013281,NB-Wait
9.0,0.772059,0.240343,400.0,0.000831,24.028777,24.034311,0.759657,308.82375,91.17625,1440.0,36140.0,27454.0,8686.0,52041600.0,39533760.0,0.197081,0.764339,0.000755,B,0.017737,NB-Wait
3.0,0.362756,0.643291,200.0,0.001223,64.318081,64.329134,0.356709,72.55125,127.44875,1440.0,18096.0,6455.0,11641.0,26058240.0,9295200.0,0.495334,0.31197,0.000787,NB,0.386361,Block
9.0,0.864534,0.14917,400.0,0.000453,14.911455,14.916989,0.85083,345.81375,54.18625,1440.0,36140.0,30749.0,5391.0,52041600.0,44278560.0,0.111877,0.847244,0.00079,B,0.0,No Block
3.0,0.400613,0.606432,100.0,0.000527,60.521662,60.643236,0.393568,40.06125,59.93875,1440.0,9048.0,3561.0,5487.0,13029120.0,5127840.0,0.460889,0.340521,0.000786,NB,0.29036,NB-No Block
9.0,0.579116,0.429498,1000.0,0.00048,42.943182,42.949825,0.570502,579.11625,420.88375,1440.0,90324.0,51530.0,38794.0,130066560.0,74203200.0,0.335009,0.521205,0.000506,P NB,0.077052,NB-No Block
9.0,0.276818,0.727428,500.0,0.001247,72.738338,72.742764,0.272572,138.40875,361.59125,1440.0,45188.0,12317.0,32871.0,65070720.0,17736480.0,0.480102,0.249136,0.000826,NB,0.307265,NB-Wait
9.0,0.439853,0.566721,500.0,0.001211,56.667699,56.672125,0.433279,219.92625,280.07375,1440.0,45188.0,19579.0,25609.0,65070720.0,28193760.0,0.408039,0.373875,0.000735,NB,0.2081,NB-No Block
3.0,0.6761,0.334256,900.0,0.000414,33.418229,33.425611,0.665744,608.49,291.51,1440.0,81276.0,54109.0,27167.0,117037440.0,77916960.0,0.217266,0.655817,0.000744,B,0.036935,NB-No Block
9.0,0.540534,0.467958,400.0,0.001533,46.79026,46.795794,0.532042,216.21375,183.78625,1440.0,36140.0,19228.0,16912.0,52041600.0,27688320.0,0.350968,0.470265,0.000786,P NB,0.094761,NB-No Block
9.0,0.487148,0.519828,500.0,0.001122,51.978401,51.982827,0.480172,243.57375,256.42625,1440.0,45188.0,21698.0,23490.0,65070720.0,31245120.0,0.353483,0.414075,0.000814,P NB,0.141393,NB-Wait
9.0,0.548505,0.459768,500.0,0.001253,45.972382,45.976808,0.540232,274.2525,225.7475,1440.0,45188.0,24412.0,20776.0,65070720.0,35153280.0,0.390803,0.471714,0.000742,P NB,0.132873,NB-No Block
3.0,0.674984,0.336041,700.0,0.000418,33.594589,33.604071,0.663959,472.48875,227.51125,1440.0,63284.0,42018.0,21266.0,91128960.0,60505920.0,0.278914,0.654734,0.000715,P NB,0.092042,NB-No Block
9.0,0.619133,0.390015,500.0,0.000799,38.997079,39.001505,0.609985,309.56625,190.43375,1440.0,45188.0,27564.0,17624.0,65070720.0,39692160.0,0.25351,0.538645,0.000774,B,0.040562,NB-No Block
3.0,0.664631,0.345656,600.0,0.000564,34.561863,34.565554,0.654344,398.77875,201.22125,1440.0,54184.0,35455.0,18729.0,78024960.0,51055200.0,0.262698,0.6314,0.000733,B,0.039405,NB-No Block
3.0,0.564313,0.444424,900.0,0.00041,44.435012,44.442394,0.555576,507.88125,392.11875,1440.0,81276.0,45155.0,36121.0,117037440.0,65023200.0,0.306653,0.502238,0.000658,P NB,0.073597,NB-Wait
9.0,0.542475,0.465301,500.0,0.001291,46.525626,46.530052,0.534699,271.2375,228.7625,1440.0,45188.0,24162.0,21026.0,65070720.0,34793280.0,0.339669,0.471953,0.000808,P NB,0.112091,NB-Wait
3.0,0.646791,0.363475,400.0,0.000432,36.330935,36.347537,0.636525,258.71625,141.28375,1440.0,36140.0,23004.0,13136.0,52041600.0,33125700.0,0.283511,0.575644,0.000785,P NB,0.104899,NB-No Block
9.0,0.759645,0.251748,500.0,0.001028,25.170399,25.174825,0.748252,379.8225,120.1775,1440.0,45188.0,33812.0,11376.0,65070720.0,48689280.0,0.203916,0.729259,0.00079,B,0.012235,NB-No Block
3.0,0.640463,0.369593,300.0,0.000468,36.937103,36.95925,0.630408,192.13875,107.86125,1440.0,27092.0,17079.0,10013.0,39012480.0,24593760.0,0.240235,0.621249,0.000724,B,0.014414,NB-Wait
9.0,0.794993,0.216894,500.0,0.001009,21.684961,21.689387,0.783106,397.49625,102.50375,1440.0,45188.0,35387.0,9801.0,65070720.0,509557280.0,0.180022,0.779093,0.000761,B,0.027003,NB-No Block
9.0,0.872685,0.140568,500.0,0.000953,14.052403,14.056829,0.859432,436.3425,63.6575,1440.0,45188.0,38836.0,6352.0,65070720.0,55923840.0,0.108238,0.829051,0.000696,B,0.0,No Block
3.0,0.623081,0.387489,200.0,0.000426,38.715738,38.748895,0.612511,124.61625,75.38375,1440.0,18096.0,11084.0,7012.0,26058240.0,15960960.0,0.321616,0.529619,0.000686,P NB,0.093269,NB-No Block
9.0,0.861525,0.151567,500.0,0.000961,15.152253,15.156679,0.848433,430.7625,69.2375,1440.0,45188.0,38339.0,6849.0,65070720.0,55208160.0,0.121253,0.818449,0.000686,B,0.0,No Block
3.0,0.559238,0.450597,100.0,0.000704,44.993369,45.059682,0.549403,55.92375,44.07625,1440.0,9048.0,4971.0,4077.0,13029120.0,7158240.0,0.351466,0.492129,0.000626,P NB,0.087866,NB-No Block
9.0,0.28785,0.716558,600.0,0.001081,71.652148,71.655839,0.283442,172.71,427.29,1440.0,54184.0,15358.0,38826.0,78024960.0,22115520.0,0.530253,0.253308,0.000595,NB,0.477228,Block
3.0,0.679061,0.331119,1000.0,0.000478,33.104158,33.111908,0.668881,679.06125,320.93875,1440.0,90324.0,60416.0,29908.0,130066560.0,86999040.0,0.261584,0.651899,0.000523,B,0.047085,NB-No Block
9.0,0.378919,0.626919,600.0,0.000434,62.680865,62.691939,0.373081,227.35125,372.64875,1440.0,54184.0,20215.0,33969.0,78024960.0,29109600.0,0.438844,0.322081,0.000566,NB,0.285248,NB-Wait
3.0,0.650763,0.359097,900.0,0.000799,35.907279,35.90974,0.640903,585.68625,314.31375,1440.0,81276.0,52090.0,29186.0,117037440.0,75009600.0,0.237004,0.585686,0.000566,B,0.042661,NB-No Block
9.0,0.468563,0.538794,600.0,0.000424,53.772331,53.879374,0.461206,281.1375,318.8625,1440.0,54184.0,24990.0,29194.0,78024960.0,35985600.0,0.371768,0.417021,0.000582,P NB,0.092942,NB-Wait
3.0,0.617527,0.391884,800.0,0.000865,39.185634,39.188403,0.608116,494.02125,305.97875,1440.0,72228.0,43923.0,28305.0,104008320.0,63249120.0,0.301751,0.537248,0.000582,P NB,0.090525,NB-No Block
9.0,0.551775,0.456851,600.0,0.000426,45.679536,45.685073,0.543149,331.065,268.935,1440.0,54184.0,29430.0,24754.0,78024960.0,42379200.0,0.301521,0.469009,0.000589,P NB,0.117593,NB-Wait
3.0,0.611196,0.398726,700.0,0.000421,39.867897,39.872638,0.601274,427.8375,272.1625,1440.0,63284.0,38051.0,25233.0,91128960.0,54793440.0,0.307019,0.519517,0.000591,P NB,0.092106,NB-No Block
9.0,0.349013,0.656338,600.0,0.000424,65.62823,65.633766,0.343662,209.4075,390.5925,1440.0,54184.0,18621.0,35563.0,78024960.0,26814240.0,0.557887,0.314111,0.000643,NB,0.457467,Block
3.0,0.549713,0.458881,600.0,0.000436,45.884394,45.888085,0.541119,329.8275,270.1725,1440.0,54184.0,29320.0,24864.0,78024960.0,42220800.0,0.367105,0.467256,0.000646,P NB,0.146842,NB-No Block
9.0,0.666244,0.344031,600.0,0.000863,34.399454,34.403145,0.655969,399.74625,200.25375,1440.0,54184.0,35543.0,18641.0,78024960.0,51181920.0,0.254583,0.632932,0.000645,B,0.050917,NB-No Block
3.0,0.613058,0.39599,500.0,0.000438,39.594583,39.599009,0.60401,306.52875,193.47125,1440.0,45188.0,27294.0,17894.0,65070720.0,39303360.0,0.265313,0.545621,0.000606,B,0.053063,NB-Wait
9.0,0.729263,0.282113,600.0,0.000938,28.207589,28.21128,0.717887,437.5575,162.4425,1440.0,54184.0,38898.0,15286.0,78024960.0,56013120.0,0.211585,0.700092,0.000604,B,0.031738,NB-No Block
3.0,0.557522,0.4513,400.0,0.000428,45.113448,45.13005,0.5487,223.00875,176.99125,1440.0,36140.0,19830.0,16310.0,52041600.0,28555200.0,0.374579,0.479469,0.0006,P NB,0.112374,NB-Wait
9.0,0.756806,0.254872,600.0,0.000925,25.483538,25.487229,0.745128,454.08375,145.91625,1440.0,54184.0,40374.0,13810.0,78024960.0,58138560.0,0.170764,0.734102,0.000685,B,0.010246,NB-No Block
3.0,0.389288,0.616824,300.0,0.000445,61.586446,61.682415,0.383176,116.78625,183.21375,1440.0,27092.0,10381.0,16711.0,39012480.0,14948640.0,0.474955,0.342573,0.000628,NB,0.327719,NB-Wait
9.0,0.839569,0.173446,600.0,0.000888,17.340912,17.344604,0.826554,503.74125,96.25875,1440.0,54184.0,44786.0,9398.0,78024960.0,64491840.0,0.145695,0.822777,0.000699,B,0.008742,NB-No Block
3.0,0.360394,0.645944,200.0,0.000455,64.273873,64.594385,0.354056,72.07875,127.92125,1440.0,18096.0,6407.0,11689.0,26058240.0,9226080.0,0.452161,0.306335,0.000647,NB,0.284861,NB-Wait
9.0,0.899081,0.114868,600.0,0.000421,11.486786,11.486786,0.885132,539.44875,60.55125,1440.0,54184.0,47960.0,6224.0,78024960.0,69062400.0,0.09534,0.8811,0.000644,B,0.0,No Block
3.0,0.401175,0.60588,100.0,0.000512,60.543767,60.587975,0.39412,40.1175,59.8825,1440.0,9048.0,3566.0,5482.0,13029120.0,5135040.0,0.424116,0.361058,0.00069,NB,0.216299,NB-No Block
3.0,0.414338,0.592728,100.0,0.00327,59.250663,59.272767,0.407272,41.43375,58.56625,1440.0,9048.0,3685.0,5363.0,13029120.0,5306400.0,0.403055,0.364617,0.001392,NB,0.342597,NB-Wait
3.0,0.65565,0.354181,1000.0,0.000907,35.411408,35.418051,0.645819,655.65,344.35,1440.0,90324.0,58333.0,31991.0,130066560.0,83999520.0,0.25501,0.557303,0.000741,B,0.043352,NB-No Block
9.0,0.416555,0.590054,700.0,0.001191,59.002275,59.005436,0.409946,291.58875,408.41125,1440.0,63284.0,25943.0,37341.0,91128960.0,37357920.0,0.395336,0.358238,0.000742,P NB,0.134414,NB-Wait
3.0,0.4266,0.579857,1000.0,0.000611,57.979053,57.985696,0.420143,426.6,573.4,1440.0,90324.0,37949.0,52375.0,130066560.0,54646560.0,0.492878,0.375408,0.00052,NB,0.349944,NB-Wait
